id,region,lga,ward,pump_age,extraction_type,quantity,p_non_functional,predicted_status,population_est,priority_score,action,priority_tier
38503,Rukwa,Sumbawanga Rural,Miangalua,39.0,nira/tanira,enough,0.4859,non functional,4000.0,1943.6,4. Inspection de contrôle,P1
28936,Singida,Manyoni,Idodyandole,17.0,windmill,insufficient,0.7597,non functional,2500.0,1899.2,2. Remplacement,P1
36436,Mara,Rorya,Rabuor,42.0,other,enough,0.9394,non functional,2000.0,1878.8,2. Remplacement,P1
1867,Mtwara,Mtwara Rural,Mahurunga,5.0,submersible,enough,0.811,non functional,2300.0,1865.3,3. Réparation,P1
30969,Mara,Rorya,Kitembe,21.0,other,enough,0.9225,non functional,2000.0,1845.0,2. Remplacement,P1
20557,Pwani,Kisarawe,Maneromango,,other,seasonal,0.9146,non functional,2000.0,1829.2,2. Remplacement,P1
70866,Kilimanjaro,Same,Ndungu,25.0,gravity,enough,0.4423,non functional,4000.0,1769.2,4. Inspection de contrôle,P1
52656,Mara,Serengeti,Rung'bure,18.0,nira/tanira,insufficient,0.476,functional,3700.0,1761.2,4. Inspection de contrôle,P1
9988,Pwani,Mkuranga,Mkuranga,3.0,other,insufficient,0.4341,functional,4005.0,1738.6,4. Inspection de contrôle,P1
31343,Kigoma,Kasulu,Kitanga,19.0,nira/tanira,enough,0.3482,functional,4960.0,1727.1,5. Aucune action,P1
8691,Kigoma,Kigoma Rural,Mtego wa Noti,8.0,other,enough,0.9834,non functional,1750.0,1721.0,2. Remplacement,P1
64339,Pwani,Kisarawe,Marumbo,16.0,other,enough,0.9554,non functional,1800.0,1719.7,2. Remplacement,P1
64779,Pwani,Bagamoyo,Mkange,1.0,india mark ii,enough,0.2584,functional,6500.0,1679.6,5. Aucune action,P1
58591,Kigoma,Kigoma Urban,Mwanga Kaskazini,42.0,other,enough,0.3699,functional,4520.0,1671.9,4. Inspection de contrôle,P1
23248,Pwani,Mkuranga,Mkuranga,2.0,other,insufficient,0.3441,functional,4782.0,1645.5,5. Aucune action,P1
34837,Kigoma,Kasulu,Kitanga,19.0,nira/tanira,enough,0.3588,functional,4520.0,1621.8,4. Inspection de contrôle,P1
56022,Manyara,Kiteto,Songambele,8.0,submersible,enough,0.8085,non functional,2000.0,1617.0,3. Réparation,P1
40682,Mara,Tarime,Nyandoto,14.0,india mark ii,enough,0.5385,non functional,3000.0,1615.5,4. Inspection de contrôle,P1
22443,Kigoma,Kigoma Urban,Buhanda businde,42.0,other,dry,0.8769,non functional,1830.0,1604.7,1. Étude hydrogéologique,P1
66675,Mtwara,Mtwara Rural,Ziwani,28.0,other,enough,0.9862,non functional,1600.0,1577.9,2. Remplacement,P1
23670,Mara,Bunda,Nyamhula,1.0,gravity,unknown,0.875,non functional,1800.0,1575.0,3. Réparation,P1
43239,Rukwa,Sumbawanga Urban,Old Sumbawanga,31.0,gravity,dry,0.5782,non functional,2675.0,1546.7,1. Étude hydrogéologique,P1
45908,Rukwa,Sumbawanga Urban,Old Sumbawanga,31.0,gravity,enough,0.5782,non functional,2675.0,1546.7,4. Inspection de contrôle,P1
13389,Mara,Serengeti,Busawe,12.0,gravity,enough,0.7644,non functional,2000.0,1528.8,3. Réparation,P1
10656,Rukwa,Sumbawanga Urban,Mazwi,29.0,india mark ii,enough,0.2751,functional,5500.0,1513.0,5. Aucune action,P1
3145,Singida,Manyoni,Sanjaranda,35.0,mono,enough,0.9435,non functional,1600.0,1509.6,2. Remplacement,P1
39709,Pwani,Mkuranga,Kimanzichana,2.0,other,dry,0.9331,non functional,1600.0,1493.0,1. Étude hydrogéologique,P1
57709,Pwani,Mkuranga,Mkuranga,7.0,nira/tanira,enough,0.3542,functional,4208.0,1490.5,4. Inspection de contrôle,P1
61047,Rukwa,Sumbawanga Urban,Pito,35.0,gravity,enough,0.5834,non functional,2550.0,1487.7,4. Inspection de contrôle,P1
19356,Pwani,Bagamoyo,Talawanda,2.0,gravity,seasonal,0.7944,non functional,1860.0,1477.6,3. Réparation,P1
21129,Pwani,Bagamoyo,Ubenazamozi,16.0,other,enough,0.9848,non functional,1500.0,1477.2,2. Remplacement,P1
59037,Lindi,Ruangwa,Luchelegwa,,india mark ii,enough,0.3517,functional,4200.0,1477.1,4. Inspection de contrôle,P1
27252,Kigoma,Kigoma Rural,Ilagala,5.0,other,enough,0.984,non functional,1500.0,1476.0,2. Remplacement,P1
44941,Mara,Bunda,Nyamuswa,21.0,other,enough,0.9808,non functional,1500.0,1471.2,2. Remplacement,P1
9964,Kigoma,Kigoma Urban,Gungu,13.0,other,enough,0.4089,functional,3595.0,1470.0,4. Inspection de contrôle,P1
63999,Pwani,Kisarawe,Cholesamvula,14.0,other,enough,0.7331,non functional,2000.0,1466.2,2. Remplacement,P1
65630,Mtwara,Mtwara Rural,Kiromba,2.0,mono,insufficient,0.8072,non functional,1800.0,1453.0,2. Remplacement,P1
60400,Manyara,Kiteto,Kijungu,11.0,submersible,insufficient,0.4812,non functional,3000.0,1443.6,4. Inspection de contrôle,P1
44786,Pwani,Bagamoyo,Talawanda,6.0,nira/tanira,insufficient,0.8317,non functional,1735.0,1443.0,3. Réparation,P1
22463,Mwanza,Ilemela,Ilemela,8.0,windmill,enough,0.7581,non functional,1900.0,1440.4,2. Remplacement,P1
55870,Kigoma,Kigoma Urban,Kasingirima,28.0,other,dry,0.9921,non functional,1450.0,1438.5,1. Étude hydrogéologique,P1
72139,Manyara,Kiteto,Songambele,8.0,mono,enough,0.7828,non functional,1800.0,1409.0,2. Remplacement,P1
1873,Kigoma,Kasulu,Rungwe Mpya,28.0,other,enough,0.9336,non functional,1500.0,1400.4,2. Remplacement,P1
67873,Mara,Tarime,Manga,14.0,afridev,enough,0.5582,non functional,2500.0,1395.5,4. Inspection de contrôle,P1
66855,Lindi,Ruangwa,Luchelegwa,7.0,india mark iii,enough,0.8717,non functional,1600.0,1394.7,3. Réparation,P1
154,Mwanza,Ukerewe,Murutunguru,32.0,gravity,insufficient,0.9288,non functional,1500.0,1393.2,2. Remplacement,P1
65335,Manyara,Kiteto,Kijungu,,gravity,insufficient,0.2761,functional,5000.0,1380.5,5. Aucune action,P1
65140,Mtwara,Mtwara Rural,Mahurunga,42.0,other,enough,0.9188,non functional,1500.0,1378.2,2. Remplacement,P1
2609,Mara,Rorya,Kitembe,21.0,other,enough,0.9176,non functional,1500.0,1376.4,2. Remplacement,P1
36119,Pwani,Rufiji,Mahege,12.0,mono,dry,0.8734,non functional,1530.0,1336.3,1. Étude hydrogéologique,P1
57336,Kigoma,Kigoma Urban,Rubuga,28.0,other,dry,0.9919,non functional,1335.0,1324.2,1. Étude hydrogéologique,P1
10762,Kigoma,Kigoma Rural,Ilagala,5.0,gravity,enough,0.6283,non functional,2100.0,1319.4,3. Réparation,P1
70468,Mwanza,Ukerewe,Mukituntu,29.0,other,insufficient,0.992,non functional,1300.0,1289.6,2. Remplacement,P1
22622,Mara,Serengeti,Nyamatare,17.0,other - rope pump,enough,0.8536,non functional,1500.0,1280.4,3. Réparation,P1
21584,Arusha,Longido,Ketumbeine,35.0,gravity,insufficient,0.3629,functional,3500.0,1270.2,4. Inspection de contrôle,P1
48246,Kigoma,Kasulu,Rungwe Mpya,24.0,swn 80,enough,0.499,non functional,2500.0,1247.5,4. Inspection de contrôle,P1
14287,Pwani,Kibaha,Mailimoja,0.0,submersible,enough,0.4596,functional,2685.0,1234.0,4. Inspection de contrôle,P1
56600,Pwani,Mkuranga,Magawa,7.0,swn 80,enough,0.6154,non functional,2000.0,1230.8,3. Réparation,P1
54436,Mara,Tarime,Bukura,14.0,afridev,enough,0.5966,non functional,2030.0,1211.1,4. Inspection de contrôle,P1
28539,Mara,Serengeti,Kisangura,16.0,other - rope pump,insufficient,0.8333,non functional,1432.0,1193.3,3. Réparation,P1
25048,Kigoma,Kasulu,Muzye,29.0,gravity,enough,0.5563,non functional,2140.0,1190.5,4. Inspection de contrôle,P1
13390,Lindi,Ruangwa,Likunja,32.0,other,enough,0.9915,non functional,1200.0,1189.8,2. Remplacement,P1
54124,Mara,Bunda,Kibara,16.0,other,dry,0.9783,non functional,1200.0,1174.0,1. Étude hydrogéologique,P1
60200,Singida,Manyoni,Nkoko,41.0,mono,enough,0.6504,non functional,1800.0,1170.7,2. Remplacement,P1
48584,Singida,Manyoni,Itigi,40.0,mono,insufficient,0.9748,non functional,1200.0,1169.8,2. Remplacement,P1
1632,Mara,Serengeti,Kisaka,14.0,afridev,insufficient,0.8957,non functional,1300.0,1164.4,3. Réparation,P1
54494,Pwani,Mkuranga,Kimanzichana,2.0,swn 80,dry,0.7218,non functional,1600.0,1154.9,1. Étude hydrogéologique,P1
68035,Rukwa,Mpanda,Nsimbo,39.0,gravity,enough,0.9197,non functional,1250.0,1149.6,2. Remplacement,P1
47581,Rukwa,Sumbawanga Urban,Pito,27.0,gravity,dry,0.9344,non functional,1230.0,1149.3,1. Étude hydrogéologique,P1
54800,Rukwa,Sumbawanga Urban,Pito,27.0,gravity,dry,0.9302,non functional,1230.0,1144.1,1. Étude hydrogéologique,P1
55075,Rukwa,Sumbawanga Urban,Pito,27.0,gravity,dry,0.9258,non functional,1230.0,1138.7,1. Étude hydrogéologique,P1
48006,Dar es Salaam,Kinondoni,Kunduchi,13.0,submersible,enough,0.5246,non functional,2152.0,1128.9,4. Inspection de contrôle,P1
51108,Pwani,Mkuranga,Kimanzichana,2.0,swn 80,insufficient,0.6994,non functional,1600.0,1119.0,3. Réparation,P1
10490,Kigoma,Kigoma Urban,Rubuga,4.0,other,dry,0.7283,non functional,1530.0,1114.3,1. Étude hydrogéologique,P1
46699,Pwani,Mkuranga,Mkamba,7.0,swn 80,insufficient,0.7422,non functional,1500.0,1113.3,3. Réparation,P1
58363,Dar es Salaam,Ilala,Msongola,13.0,india mark ii,enough,0.5548,non functional,2000.0,1109.6,4. Inspection de contrôle,P1
55762,Pwani,Mkuranga,Tambani,2.0,india mark ii,dry,0.6886,non functional,1600.0,1101.8,1. Étude hydrogéologique,P1
29520,Pwani,Kisarawe,Msanga,18.0,india mark iii,insufficient,0.7269,non functional,1500.0,1090.4,3. Réparation,P1
1687,Lindi,Ruangwa,Mandawa,38.0,gravity,unknown,0.7235,non functional,1500.0,1085.2,2. Remplacement,P1
38259,Rukwa,Sumbawanga Urban,Pito,29.0,gravity,dry,0.8806,non functional,1230.0,1083.1,1. Étude hydrogéologique,P1
65470,Rukwa,Sumbawanga Urban,Ntendo,38.0,gravity,dry,0.8987,non functional,1200.0,1078.4,1. Étude hydrogéologique,P1
10408,Morogoro,Kilosa,Mamboya,5.0,ksb,insufficient,0.9315,non functional,1150.0,1071.2,3. Réparation,P1
30356,Kigoma,Kigoma Urban,Machinjioni,28.0,other,dry,0.8679,non functional,1230.0,1067.5,1. Étude hydrogéologique,P1
56061,Kilimanjaro,Mwanga,Lembeni,19.0,gravity,insufficient,0.3456,functional,3000.0,1036.8,5. Aucune action,P1
26494,Mara,Tarime,Matongo,18.0,other,enough,0.8572,non functional,1200.0,1028.6,2. Remplacement,P1
8407,Kigoma,Kasulu,Rungwe Mpya,5.0,india mark ii,enough,0.4076,functional,2500.0,1019.0,4. Inspection de contrôle,P1
51751,Morogoro,Kilombero,Kiberege,6.0,other,insufficient,0.8358,non functional,1200.0,1003.0,2. Remplacement,P1
56914,Kigoma,Kigoma Rural,Nguruka,41.0,other,insufficient,0.995,non functional,1000.0,995.0,2. Remplacement,P1
32312,Singida,Manyoni,Manyoni,5.0,mono,insufficient,0.8265,non functional,1200.0,991.8,2. Remplacement,P1
13056,Mara,Bunda,Nyamuswa,1.0,other,unknown,0.9847,non functional,1000.0,984.7,2. Remplacement,P1
28894,Tanga,Pangani,Pangani Mashariki,3.0,other,insufficient,0.9723,non functional,1000.0,972.3,2. Remplacement,P1
52397,Morogoro,Morogoro Rural,Ngerengere,12.0,other,insufficient,0.9687,non functional,1000.0,968.7,2. Remplacement,P1
33854,Rukwa,Sumbawanga Urban,Pito,35.0,gravity,enough,0.7833,non functional,1230.0,963.5,2. Remplacement,P1
16525,Tanga,Handeni,Mgambo,8.0,afridev,enough,0.1926,functional,5000.0,963.0,5. Aucune action,P1
38448,Ruvuma,Songea Urban,Mletele,7.0,other,dry,0.984,non functional,950.0,934.8,1. Étude hydrogéologique,P1
28008,Morogoro,Kilosa,Iyogwe,16.0,swn 80,insufficient,0.5184,non functional,1800.0,933.1,4. Inspection de contrôle,P1
39341,Kigoma,Kasulu,Muyama,35.0,ksb,enough,0.98,non functional,950.0,931.0,2. Remplacement,P1
51927,Morogoro,Kilosa,Mamboya,14.0,swn 80,insufficient,0.7147,non functional,1300.0,929.1,3. Réparation,P1
56256,Manyara,Hanang,Measkron,16.0,submersible,insufficient,0.6045,non functional,1536.0,928.5,3. Réparation,P1
55800,Kigoma,Kasulu,Rungwe Mpya,26.0,swn 80,enough,0.4811,functional,1900.0,914.1,4. Inspection de contrôle,P1
22954,Dar es Salaam,Kinondoni,Kibamba,13.0,submersible,insufficient,0.7495,non functional,1213.0,909.1,3. Réparation,P1
71261,Morogoro,Kilosa,Dumila,21.0,other,insufficient,0.8993,non functional,1000.0,899.3,2. Remplacement,P1
34916,Mara,Serengeti,Kisangura,17.0,nira/tanira,enough,0.4469,functional,2000.0,893.8,4. Inspection de contrôle,P1
67296,Morogoro,Kilombero,Ifakara,28.0,submersible,insufficient,0.8923,non functional,1000.0,892.3,2. Remplacement,P1
60931,Mara,Serengeti,Kisangura,17.0,nira/tanira,insufficient,0.4442,functional,2000.0,888.4,4. Inspection de contrôle,P1
57626,Pwani,Mkuranga,Panzuo,6.0,india mark ii,enough,0.2955,functional,3000.0,886.5,5. Aucune action,P1
59716,Mwanza,Ilemela,Ilemela,,other,enough,0.9196,non functional,960.0,882.8,2. Remplacement,P1
8371,Mtwara,Mtwara Rural,Mahurunga,29.0,other,enough,0.9803,non functional,900.0,882.3,2. Remplacement,P1
65878,Kigoma,Kasulu,Kagera Nkanda,8.0,other,enough,0.9136,non functional,950.0,867.9,2. Remplacement,P1
68082,Mara,Serengeti,Kebanchabancha,15.0,gravity,seasonal,0.6939,non functional,1245.0,863.9,3. Réparation,P1
5270,Kigoma,Kasulu,Rungwe Mpya,24.0,swn 80,enough,0.4928,non functional,1750.0,862.4,4. Inspection de contrôle,P1
36777,Kigoma,Kigoma Urban,Kasingirima,7.0,nira/tanira,dry,0.5895,non functional,1450.0,854.8,1. Étude hydrogéologique,P1
71323,Pwani,Bagamoyo,Miono,1.0,india mark ii,enough,0.3601,functional,2370.0,853.4,4. Inspection de contrôle,P1
21806,Pwani,Kisarawe,Maneromango,26.0,gravity,dry,0.8522,non functional,1000.0,852.2,1. Étude hydrogéologique,P1
24670,Mara,Bunda,Kabasa,40.0,gravity,unknown,0.894,non functional,950.0,849.3,2. Remplacement,P1
44161,Kigoma,Kasulu,Kagera Nkanda,6.0,nira/tanira,enough,0.2011,functional,4200.0,844.6,5. Aucune action,P1
57410,Mtwara,Mtwara Rural,Mahurunga,5.0,submersible,enough,0.8435,non functional,1000.0,843.5,3. Réparation,P1
55027,Kigoma,Kigoma Urban,Bangwe,42.0,other,dry,0.6439,non functional,1300.0,837.1,1. Étude hydrogéologique,P1
8351,Kigoma,Kasulu,Rungwe Mpya,28.0,other,enough,0.8537,non functional,980.0,836.6,2. Remplacement,P1
46208,Singida,Manyoni,Itigi,40.0,mono,insufficient,0.9835,non functional,850.0,836.0,2. Remplacement,P1
14888,Singida,Manyoni,Manyoni,40.0,submersible,enough,0.9246,non functional,900.0,832.1,2. Remplacement,P1
35612,Mtwara,Tandahimba,Namikupa,31.0,submersible,dry,0.9745,non functional,850.0,828.3,1. Étude hydrogéologique,P1
67331,Kigoma,Kasulu,Heru- Ushingo,4.0,afridev,enough,0.6607,non functional,1250.0,825.9,3. Réparation,P1
11205,Singida,Manyoni,Mgandu,35.0,windmill,enough,0.1959,functional,4200.0,822.8,5. Aucune action,P1
8560,Mara,Tarime,Matongo,7.0,other - swn 81,insufficient,0.6825,non functional,1200.0,819.0,3. Réparation,P1
28801,Kigoma,Kasulu,Kilelema,19.0,other,enough,0.9528,non functional,850.0,809.9,2. Remplacement,P1
18570,Kigoma,Kibondo,Misezero,5.0,india mark ii,insufficient,0.5394,non functional,1500.0,809.1,4. Inspection de contrôle,P1
3281,Mara,Rorya,Kisumwa,1.0,other,enough,0.2697,functional,3000.0,809.1,5. Aucune action,P1
23352,Pwani,Bagamoyo,Chalinze,8.0,ksb,enough,0.6572,non functional,1228.0,807.0,3. Réparation,P1
54583,Mara,Rorya,Mkoma,21.0,submersible,enough,0.7936,non functional,1000.0,793.6,2. Remplacement,P1
34330,Mtwara,Mtwara Rural,Namtuhuka,35.0,submersible,enough,0.2643,functional,3000.0,792.9,5. Aucune action,P1
30329,Ruvuma,Songea Urban,Matogoro,7.0,gravity,dry,0.7924,non functional,1000.0,792.4,1. Étude hydrogéologique,P1
51497,Pwani,Kisarawe,Maneromango,14.0,india mark ii,insufficient,0.5274,non functional,1500.0,791.1,4. Inspection de contrôle,P1
19891,Mara,Serengeti,Machochwe,18.0,nira/tanira,seasonal,0.6587,non functional,1200.0,790.4,3. Réparation,P1
30169,Manyara,Hanang,Gidahababieg,24.0,other - play pump,insufficient,0.9189,non functional,859.0,789.3,2. Remplacement,P1
73270,Tanga,Pangani,Mwera,10.0,submersible,enough,0.1314,functional,6000.0,788.4,5. Aucune action,P1
48116,Tanga,Pangani,Mkalamo,2.0,other,insufficient,0.9847,non functional,800.0,787.8,2. Remplacement,P1
41099,Mara,Rorya,Koryo,32.0,submersible,enough,0.9267,non functional,850.0,787.7,2. Remplacement,P1
11878,Ruvuma,Namtumbo,Mgombasi,19.0,other,enough,0.9843,non functional,800.0,787.4,2. Remplacement,P1
26850,Lindi,Kilwa,Lihimalyo,16.0,other,enough,0.982,non functional,800.0,785.6,2. Remplacement,P1
42512,Dodoma,Chamwino,Msanga,,mono,dry,0.9763,non functional,800.0,781.0,1. Étude hydrogéologique,P1
2786,Pwani,Bagamoyo,Mkange,5.0,other,insufficient,0.9745,non functional,800.0,779.6,2. Remplacement,P1
50949,Mara,Bunda,Sazira,27.0,india mark ii,enough,0.3245,functional,2400.0,778.8,5. Aucune action,P1
47267,Rukwa,Sumbawanga Urban,Milanzi,29.0,gravity,dry,0.8175,non functional,950.0,776.6,1. Étude hydrogéologique,P1
3040,Dodoma,Chamwino,Msanga,,mono,dry,0.9699,non functional,800.0,775.9,1. Étude hydrogéologique,P1
28591,Manyara,Kiteto,Sunya,3.0,gravity,seasonal,0.2582,functional,3000.0,774.6,5. Aucune action,P1
64538,Mara,Serengeti,Machochwe,18.0,other - rope pump,insufficient,0.6794,non functional,1140.0,774.5,3. Réparation,P1
37800,Ruvuma,Songea Urban,Matogoro,7.0,gravity,dry,0.7729,non functional,1000.0,772.9,1. Étude hydrogéologique,P1
22089,Tanga,Mkinga,Mtimbwani,3.0,other,enough,0.6935,non functional,1114.0,772.6,2. Remplacement,P1
34430,Iringa,Kilolo,Uhambingeto,11.0,other,enough,0.9641,non functional,800.0,771.3,2. Remplacement,P1
32462,Dar es Salaam,Kinondoni,Kunduchi,13.0,submersible,enough,0.6911,non functional,1114.0,769.9,3. Réparation,P1
29562,Manyara,Kiteto,Njoro,2.0,mono,enough,0.6239,non functional,1230.0,767.4,2. Remplacement,P1
23890,Tanga,Pangani,Mkwaja,,other,insufficient,0.9578,non functional,800.0,766.2,2. Remplacement,P1
8801,Morogoro,Kilosa,Berega,31.0,other,insufficient,0.9516,non functional,800.0,761.3,2. Remplacement,P1
43358,Manyara,Kiteto,Songambele,17.0,submersible,insufficient,0.8548,non functional,890.0,760.8,3. Réparation,P1
39552,Rukwa,Mpanda,Mbede,7.0,nira/tanira,enough,0.6324,non functional,1200.0,758.9,3. Réparation,P1
70739,Pwani,Kisarawe,Mzenga,33.0,gravity,enough,0.945,non functional,800.0,756.0,2. Remplacement,P1
63438,Tanga,Handeni,Ndolwa,2.0,submersible,insufficient,0.7545,non functional,1000.0,754.5,3. Réparation,P1
42337,Morogoro,Kilombero,Lumemo,3.0,other,insufficient,0.5014,non functional,1500.0,752.1,4. Inspection de contrôle,P1
4411,Morogoro,Kilosa,Magubike,27.0,ksb,insufficient,0.9366,non functional,800.0,749.3,2. Remplacement,P1
35400,Mara,Serengeti,Natta,34.0,mono,insufficient,0.3724,functional,2000.0,744.8,4. Inspection de contrôle,P1
58161,Singida,Manyoni,Manyoni,5.0,submersible,enough,0.8271,non functional,900.0,744.4,3. Réparation,P1
18061,Kigoma,Kigoma Rural,Nguruka,6.0,other,enough,0.9921,non functional,750.0,744.1,2. Remplacement,P1
23403,Tanga,Mkinga,Gombero,24.0,afridev,seasonal,0.7216,non functional,1030.0,743.2,2. Remplacement,P1
2691,Mara,Serengeti,Nyamatare,15.0,nira/tanira,enough,0.3681,functional,2000.0,736.2,4. Inspection de contrôle,P1
37395,Mwanza,Ukerewe,Igalla,3.0,other,insufficient,0.9088,non functional,800.0,727.0,2. Remplacement,P1
22161,Pwani,Bagamoyo,Lugoba,8.0,ksb,enough,0.3627,functional,2000.0,725.4,4. Inspection de contrôle,P1
47735,Morogoro,Kilombero,Kiberege,9.0,other,insufficient,0.9265,non functional,780.0,722.7,2. Remplacement,P1
3060,Dar es Salaam,Ilala,Msongola,13.0,other,enough,0.8971,non functional,800.0,717.7,2. Remplacement,P1
62945,Lindi,Ruangwa,Narungombe,3.0,nira/tanira,enough,0.5274,non functional,1350.0,712.0,4. Inspection de contrôle,P1
38012,Mara,Bunda,Nyamhula,17.0,gravity,dry,0.5562,non functional,1280.0,711.9,1. Étude hydrogéologique,P1
52301,Rukwa,Sumbawanga Urban,Milanzi,29.0,gravity,dry,0.8895,non functional,800.0,711.6,1. Étude hydrogéologique,P1
13399,Rukwa,Sumbawanga Urban,Milanzi,29.0,gravity,dry,0.8891,non functional,800.0,711.3,1. Étude hydrogéologique,P1
3018,Singida,Iramba,Kinampanda,24.0,other,dry,0.9752,non functional,725.0,707.0,1. Étude hydrogéologique,P1
8625,Rukwa,Sumbawanga Urban,Mazwi,5.0,nira/tanira,enough,0.1171,functional,6000.0,702.6,5. Aucune action,P1
26024,Lindi,Ruangwa,Mandawa,38.0,gravity,enough,0.3497,functional needs repair,2000.0,699.4,5. Aucune action,P1
26511,Manyara,Hanang,Hidet,5.0,gravity,dry,0.9107,non functional,763.0,694.9,1. Étude hydrogéologique,P1
69347,Mtwara,Mtwara Rural,Ziwani,42.0,other,enough,0.9912,non functional,700.0,693.8,2. Remplacement,P1
